,Representative Name,Last Name,State,Committee,Role
0,Alexander,,,"Health, Education, Labor, and Pensions",chair
1,Alexander,,,Appropriations,
2,Alexander,,,Energy and Natural Resources,
3,Alexander,,,Rules and Administration,
4,Baldwin,,,Appropriations,
5,Baldwin,,,"Commerce, Science, and Transportation",
6,Baldwin,,,"Health, Education, Labor, and Pensions",
7,Barrasso,,,Environment and Public Works,chair
8,Barrasso,,,Energy and Natural Resources,
9,Barrasso,,,Foreign Relations,
10,Barrasso,,,Indian Affairs,
11,Bennet,,,"Agriculture, Nutrition, and Forestry",
12,Bennet,,,Finance,
13,Bennet,,,"Health, Education, Labor, and Pensions",
14,Blumenthal,,,Armed Services,vice chair
15,Blumenthal,,,"Commerce, Science, and Transportation",
16,Blumenthal,,,Judiciary,
17,Blumenthal,,,Veterans' Affairs,
18,Blumenthal,,,Special Committee on Aging,
19,Blunt,,,Rules and Administration,chair
20,Blunt,,,Joint Committee on Printing,chair
21,Blunt,,,Joint Committee on the Library,vice chair
22,Blunt,,,Appropriations,
23,Blunt,,,"Commerce, Science, and Transportation",
24,Blunt,,,Select Committee on Intelligence,
25,Booker,,,Environment and Public Works,
26,Booker,,,Foreign Relations,
27,Booker,,,Judiciary,
28,Booker,,,Small Business and Entrepreneurship,
29,Boozman,,,"Agriculture, Nutrition, and Forestry",
30,Boozman,,,Appropriations,
31,Boozman,,,Budget,
32,Boozman,,,Environment and Public Works,
33,Boozman,,,Veterans' Affairs,
34,Brown,,,"Agriculture, Nutrition, and Forestry",
35,Brown,,,"Banking, Housing, and Urban Affairs",
36,Brown,,,Finance,
37,Brown,,,Veterans' Affairs,
38,Burr,,,Select Committee on Intelligence,chair
39,Burr,,,Finance,
40,Burr,,,"Health, Education, Labor, and Pensions",
41,Burr,,,Special Committee on Aging,
42,Cantwell,,,"Commerce, Science, and Transportation",
43,Cantwell,,,Energy and Natural Resources,
44,Cantwell,,,Finance,
45,Cantwell,,,Indian Affairs,
46,Cantwell,,,Small Business and Entrepreneurship,
47,Capito,,,Appropriations,
48,Capito,,,"Commerce, Science, and Transportation",
49,Capito,,,Energy and Natural Resources,
50,Capito,,,Environment and Public Works,
51,Capito,,,Rules and Administration,
52,Cardin,,,Environment and Public Works,
53,Cardin,,,Finance,
54,Cardin,,,Foreign Relations,
55,Cardin,,,Small Business and Entrepreneurship,
56,Carper,,,Environment and Public Works,
57,Carper,,,Finance,
58,Carper,,,Homeland Security and Governmental Affairs,
59,Casey,,,"Agriculture, Nutrition, and Forestry",
60,Casey,,,Finance,
61,Casey,,,"Health, Education, Labor, and Pensions",
62,Casey,,,Special Committee on Aging,
63,Cassidy,,,Energy and Natural Resources,
64,Cassidy,,,Finance,
65,Cassidy,,,"Health, Education, Labor, and Pensions",
66,Cassidy,,,Veterans' Affairs,
67,Cassidy,,,Joint Economic Committee,
68,Collins,,,Special Committee on Aging,chair
69,Collins,,,Appropriations,
70,Collins,,,"Health, Education, Labor, and Pensions",
71,Collins,,,Select Committee on Intelligence,
72,Coons,,,Select Committee on Ethics,vice chair
73,Coons,,,Appropriations,
74,Coons,,,Foreign Relations,
75,Coons,,,Judiciary,
76,Coons,,,Small Business and Entrepreneurship,
77,Corker,,,Foreign Relations,chair
78,Corker,,,"Banking, Housing, and Urban Affairs",
79,Corker,,,Budget,
80,Corker,,,Special Committee on Aging,
81,Cornyn,,,Finance,
82,Cornyn,,,Judiciary,
83,Cornyn,,,Select Committee on Intelligence,
84,Cortez Masto,,,"Banking, Housing, and Urban Affairs",
85,Cortez Masto,,,"Commerce, Science, and Transportation",
86,Cortez Masto,,,Energy and Natural Resources,
87,Cortez Masto,,,Indian Affairs,
88,Cortez Masto,,,Rules and Administration,
89,Cortez Masto,,,Special Committee on Aging,
90,Cotton,,,Armed Services,vice chair
91,Cotton,,,"Banking, Housing, and Urban Affairs",
92,Cotton,,,Budget,
93,Cotton,,,Joint Economic Committee,
94,Cotton,,,Select Committee on Intelligence,
95,Crapo,,,"Banking, Housing, and Urban Affairs",chair
96,Crapo,,,Budget,
97,Crapo,,,Finance,
98,Crapo,,,Indian Affairs,
99,Crapo,,,Judiciary,
100,Crapo,,,Joint Committee on Taxation,
101,Cruz,,,Armed Services,vice chair
102,Cruz,,,"Commerce, Science, and Transportation",
103,Cruz,,,Judiciary,
104,Cruz,,,Rules and Administration,
105,Cruz,,,Joint Economic Committee,
106,Daines,,,"Agriculture, Nutrition, and Forestry",
107,Daines,,,Appropriations,
108,Daines,,,Energy and Natural Resources,
109,Daines,,,Homeland Security and Governmental Affairs,
110,Daines,,,Indian Affairs,
111,Donnelly,,,"Agriculture, Nutrition, and Forestry",
112,Donnelly,,,Armed Services,vice chair
113,Donnelly,,,"Banking, Housing, and Urban Affairs",
114,Donnelly,,,Special Committee on Aging,
115,Duckworth,,,"Commerce, Science, and Transportation",
116,Duckworth,,,Energy and Natural Resources,
117,Duckworth,,,Environment and Public Works,
118,Duckworth,,,Small Business and Entrepreneurship,
119,Durbin,,,Appropriations,
120,Durbin,,,Judiciary,
121,Durbin,,,Rules and Administration,
122,Enzi,,,Budget,chair
123,Enzi,,,Finance,
124,Enzi,,,"Health, Education, Labor, and Pensions",
125,Enzi,,,Homeland Security and Governmental Affairs,
126,Enzi,,,Small Business and Entrepreneurship,
127,Ernst,,,"Agriculture, Nutrition, and Forestry",
128,Ernst,,,Armed Services,vice chair
129,Ernst,,,Environment and Public Works,
130,Ernst,,,Small Business and Entrepreneurship,
131,Feinstein,,,Appropriations,
132,Feinstein,,,Judiciary,
133,Feinstein,,,Rules and Administration,
134,Feinstein,,,Select Committee on Intelligence,
135,Fischer,,,"Agriculture, Nutrition, and Forestry",
136,Fischer,,,Armed Services,vice chair
137,Fischer,,,"Commerce, Science, and Transportation",
138,Fischer,,,Environment and Public Works,
139,Fischer,,,Rules and Administration,
140,Fischer,,,Special Committee on Aging,
141,Flake,,,Energy and Natural Resources,
142,Flake,,,Foreign Relations,
143,Flake,,,Judiciary,
144,Flake,,,Special Committee on Aging,
145,Gardner,,,Budget,
146,Gardner,,,"Commerce, Science, and Transportation",
147,Gardner,,,Energy and Natural Resources,
148,Gardner,,,Foreign Relations,
149,Gillibrand,,,"Agriculture, Nutrition, and Forestry",
150,Gillibrand,,,Armed Services,vice chair
151,Gillibrand,,,Environment and Public Works,
152,Gillibrand,,,Special Committee on Aging,
153,Graham,,,Appropriations,
154,Graham,,,Armed Services,vice chair
155,Graham,,,Budget,
156,Graham,,,Judiciary,
157,Grassley,,,Judiciary,chair
158,Grassley,,,"Agriculture, Nutrition, and Forestry",
159,Grassley,,,Budget,
160,Grassley,,,Finance,
161,Grassley,,,Joint Committee on Taxation,
162,Harris,,,Budget,
163,Harris,,,Homeland Security and Governmental Affairs,
164,Harris,,,Judiciary,
165,Harris,,,Select Committee on Intelligence,
166,Hassan,,,"Commerce, Science, and Transportation",
167,Hassan,,,"Health, Education, Labor, and Pensions",
168,Hassan,,,Homeland Security and Governmental Affairs,
169,Hassan,,,Joint Economic Committee,
170,Hatch,,,Finance,chair
171,Hatch,,,Joint Committee on Taxation,chair
172,Hatch,,,"Health, Education, Labor, and Pensions",
173,Hatch,,,Judiciary,
174,Hatch,,,Special Committee on Aging,
175,Heinrich,,,Armed Services,vice chair
176,Heinrich,,,Energy and Natural Resources,
177,Heinrich,,,Joint Economic Committee,
178,Heinrich,,,Select Committee on Intelligence,
179,Heitkamp,,,"Agriculture, Nutrition, and Forestry",
180,Heitkamp,,,"Banking, Housing, and Urban Affairs",
181,Heitkamp,,,Homeland Security and Governmental Affairs,
182,Heitkamp,,,Indian Affairs,
183,Heitkamp,,,Small Business and Entrepreneurship,
184,Heller,,,"Banking, Housing, and Urban Affairs",
185,Heller,,,"Commerce, Science, and Transportation",
186,Heller,,,Finance,
187,Heller,,,Veterans' Affairs,
188,Hirono,,,Armed Services,vice chair
189,Hirono,,,Energy and Natural Resources,
190,Hirono,,,Judiciary,
191,Hirono,,,Small Business and Entrepreneurship,
192,Hirono,,,Veterans' Affairs,
193,Hoeven,,,Indian Affairs,chair
194,Hoeven,,,"Agriculture, Nutrition, and Forestry",
195,Hoeven,,,Appropriations,
196,Hoeven,,,Energy and Natural Resources,
197,Hoeven,,,Homeland Security and Governmental Affairs,
198,Hyde-Smith,,,"Agriculture, Nutrition, and Forestry",
199,Hyde-Smith,,,Appropriations,
200,Hyde-Smith,,,Rules and Administration,
201,Inhofe,,,Armed Services,vice chair
202,Inhofe,,,"Commerce, Science, and Transportation",
203,Inhofe,,,Environment and Public Works,
204,Inhofe,,,Small Business and Entrepreneurship,
205,Isakson,,,Veterans' Affairs,chair
206,Isakson,,,Select Committee on Ethics,chair
207,Isakson,,,Finance,
208,Isakson,,,Foreign Relations,
209,Isakson,,,"Health, Education, Labor, and Pensions",
210,Johnson,,,Homeland Security and Governmental Affairs,chair
211,Johnson,,,Budget,
212,Johnson,,,"Commerce, Science, and Transportation",
213,Johnson,,,Foreign Relations,
214,Jones,,,"Banking, Housing, and Urban Affairs",
215,Jones,,,"Health, Education, Labor, and Pensions",
216,Jones,,,Homeland Security and Governmental Affairs,
217,Jones,,,Special Committee on Aging,
218,Kaine,,,Armed Services,vice chair
219,Kaine,,,Budget,
220,Kaine,,,Foreign Relations,
221,Kaine,,,"Health, Education, Labor, and Pensions",
222,Kennedy,,,Appropriations,
223,Kennedy,,,"Banking, Housing, and Urban Affairs",
224,Kennedy,,,Budget,
225,Kennedy,,,Judiciary,
226,Kennedy,,,Small Business and Entrepreneurship,
227,King,,,Armed Services,vice chair
228,King,,,Budget,
229,King,,,Energy and Natural Resources,
230,King,,,Rules and Administration,
231,King,,,Select Committee on Intelligence,
232,Klobuchar,,,"Agriculture, Nutrition, and Forestry",
233,Klobuchar,,,"Commerce, Science, and Transportation",
234,Klobuchar,,,Judiciary,
235,Klobuchar,,,Rules and Administration,
236,Klobuchar,,,Joint Committee on the Library,
237,Klobuchar,,,Joint Committee on Printing,
238,Klobuchar,,,Joint Economic Committee,
239,Lankford,,,Appropriations,
240,Lankford,,,Homeland Security and Governmental Affairs,
241,Lankford,,,Indian Affairs,
242,Lankford,,,Select Committee on Intelligence,
243,Leahy,,,"Agriculture, Nutrition, and Forestry",
244,Leahy,,,Appropriations,
245,Leahy,,,Judiciary,
246,Leahy,,,Rules and Administration,
247,Leahy,,,Joint Committee on the Library,
248,Lee,,,Joint Economic Committee,vice chair
249,Lee,,,"Commerce, Science, and Transportation",
250,Lee,,,Energy and Natural Resources,
251,Lee,,,Judiciary,
252,Manchin,,,Appropriations,
253,Manchin,,,Energy and Natural Resources,
254,Manchin,,,Veterans' Affairs,
255,Manchin,,,Select Committee on Intelligence,
256,Markey,,,"Commerce, Science, and Transportation",
257,Markey,,,Environment and Public Works,
258,Markey,,,Foreign Relations,
259,Markey,,,Small Business and Entrepreneurship,
260,McCain,,,"Armed Services, chair",vice chair
261,McCain,,,Homeland Security and Governmental Affairs,
262,McCain,,,Indian Affairs,
263,McCain,,,Select Committee on Intelligence,
264,McCaskill,,,Armed Services,vice chair
265,McCaskill,,,Finance,
266,McCaskill,,,Homeland Security and Governmental Affairs,
267,McConnell,,,"Agriculture, Nutrition, and Forestry",
268,McConnell,,,Appropriations,
269,McConnell,,,Rules and Administration,
270,McConnell,,,Select Committee on Intelligence,
271,Menendez,,,"Banking, Housing, and Urban Affairs",
272,Menendez,,,Finance,
273,Menendez,,,Foreign Relations,
274,Merkley,,,Appropriations,
275,Merkley,,,Budget,
276,Merkley,,,Environment and Public Works,
277,Merkley,,,Foreign Relations,
278,Moran,,,Appropriations,
279,Moran,,,"Banking, Housing, and Urban Affairs",
280,Moran,,,"Commerce, Science, and Transportation",
281,Moran,,,Environment and Public Works,
282,Moran,,,Indian Affairs,
283,Moran,,,Veterans' Affairs,
284,Murkowski,,,Energy and Natural Resources,chair
285,Murkowski,,,Appropriations,
286,Murkowski,,,"Health, Education, Labor, and Pensions",
287,Murkowski,,,Indian Affairs,
288,Murphy,,,Appropriations,
289,Murphy,,,Foreign Relations,
290,Murphy,,,"Health, Education, Labor, and Pensions",
291,Murray,,,Appropriations,
292,Murray,,,Budget,
293,Murray,,,"Health, Education, Labor, and Pensions",
294,Murray,,,Veterans' Affairs,
295,Nelson,,,Armed Services,vice chair
296,Nelson,,,"Commerce, Science, and Transportation",
297,Nelson,,,Finance,
298,Nelson,,,Special Committee on Aging,
299,Paul,,,Foreign Relations,
300,Paul,,,"Health, Education, Labor, and Pensions",
301,Paul,,,Homeland Security and Governmental Affairs,
302,Paul,,,Small Business and Entrepreneurship,
303,Perdue,,,"Agriculture, Nutrition, and Forestry",
304,Perdue,,,Armed Services,vice chair
305,Perdue,,,"Banking, Housing, and Urban Affairs",
306,Perdue,,,Budget,
307,Peters,,,Armed Services,vice chair
308,Peters,,,"Commerce, Science, and Transportation",
309,Peters,,,Homeland Security and Governmental Affairs,
310,Peters,,,Joint Economic Committee,
311,Portman,,,Energy and Natural Resources,
312,Portman,,,Finance,
313,Portman,,,Foreign Relations,
314,Portman,,,Homeland Security and Governmental Affairs,
315,Portman,,,Joint Economic Committee,
316,Reed,,,Appropriations,
317,Reed,,,Armed Services,vice chair
318,Reed,,,"Banking, Housing, and Urban Affairs",
319,Reed,,,Select Committee on Intelligence,
320,Risch,,,Small Business and Entrepreneurship,chair
321,Risch,,,Energy and Natural Resources,
322,Risch,,,Foreign Relations,
323,Risch,,,Select Committee on Ethics,
324,Risch,,,Select Committee on Intelligence,
325,Roberts,,,"Agriculture, Nutrition, and Forestry",chair
326,Roberts,,,Finance,
327,Roberts,,,"Health, Education, Labor, and Pensions",
328,Roberts,,,Rules and Administration,
329,Roberts,,,Joint Committee on the Library,
330,Roberts,,,Joint Committee on Printing,
331,Roberts,,,Select Committee on Ethics,
332,Rounds,,,Armed Services,vice chair
333,Rounds,,,"Banking, Housing, and Urban Affairs",
334,Rounds,,,Environment and Public Works,
335,Rounds,,,Small Business and Entrepreneurship,
336,Rounds,,,Veterans' Affairs,
337,Rubio,,,Appropriations,
338,Rubio,,,Foreign Relations,
339,Rubio,,,Small Business and Entrepreneurship,
340,Rubio,,,Select Committee on Intelligence,
341,Rubio,,,Special Committee on Aging,
342,Sanders,,,Budget,
343,Sanders,,,Energy and Natural Resources,
344,Sanders,,,Environment and Public Works,
345,Sanders,,,"Health, Education, Labor, and Pensions",
346,Sanders,,,Veterans' Affairs,
347,Sasse,,,Armed Services,vice chair
348,Sasse,,,"Banking, Housing, and Urban Affairs",
349,Sasse,,,Judiciary,
350,Sasse,,,Joint Economic Committee,
351,Schatz,,,Appropriations,
352,Schatz,,,"Banking, Housing, and Urban Affairs",
353,Schatz,,,"Commerce, Science, and Transportation",
354,Schatz,,,Indian Affairs,
355,Schatz,,,Select Committee on Ethics,
356,Schumer,,,Rules and Administration,
357,Schumer,,,Select Committee on Intelligence,
358,Scott,,,Armed Services,vice chair
359,Scott,,,"Banking, Housing, and Urban Affairs",
360,Scott,,,Finance,
361,Scott,,,"Health, Education, Labor, and Pensions",
362,Scott,,,Small Business and Entrepreneurship,
363,Scott,,,Special Committee on Aging,
364,Shaheen,,,Appropriations,
365,Shaheen,,,Armed Services,vice chair
366,Shaheen,,,Foreign Relations,
367,Shaheen,,,Small Business and Entrepreneurship,
368,Shaheen,,,Select Committee on Ethics,
369,Shelby,,,Appropriations,chair
370,Shelby,,,"Banking, Housing, and Urban Affairs",
371,Shelby,,,Environment and Public Works,
372,Shelby,,,Rules and Administration,
373,Shelby,,,Joint Committee on the Library,
374,Smith,,,"Agriculture, Nutrition, and Forestry",
375,Smith,,,Energy and Natural Resources,
376,Smith,,,"Health, Education, Labor, and Pensions",
377,Smith,,,Indian Affairs,
378,Stabenow,,,"Agriculture, Nutrition, and Forestry",
379,Stabenow,,,Budget,
380,Stabenow,,,Energy and Natural Resources,
381,Stabenow,,,Finance,
382,Stabenow,,,Joint Committee on Taxation,
383,Sullivan,,,Armed Services,vice chair
384,Sullivan,,,"Commerce, Science, and Transportation",
385,Sullivan,,,Environment and Public Works,
386,Sullivan,,,Veterans' Affairs,
387,Tester,,,Appropriations,
388,Tester,,,"Banking, Housing, and Urban Affairs",
389,Tester,,,"Commerce, Science, and Transportation",
390,Tester,,,Indian Affairs,
391,Tester,,,Veterans' Affairs,
392,Thune,,,"Commerce, Science, and Transportation",chair
393,Thune,,,"Agriculture, Nutrition, and Forestry",
394,Thune,,,Finance,
395,Tillis,,,Armed Services,vice chair
396,Tillis,,,"Banking, Housing, and Urban Affairs",
397,Tillis,,,Judiciary,
398,Tillis,,,Veterans' Affairs,
399,Tillis,,,Special Committee on Aging,
400,Toomey,,,"Banking, Housing, and Urban Affairs",
401,Toomey,,,Budget,
402,Toomey,,,Finance,
403,Udall,,,Appropriations,
404,Udall,,,"Commerce, Science, and Transportation",
405,Udall,,,Foreign Relations,
406,Udall,,,Indian Affairs,
407,Udall,,,Rules and Administration,
408,Udall,,,Joint Committee on Printing,
409,Van Hollen,,,Appropriations,
410,Van Hollen,,,"Banking, Housing, and Urban Affairs",
411,Van Hollen,,,Budget,
412,Van Hollen,,,Environment and Public Works,
413,Warner,,,"Banking, Housing, and Urban Affairs",
414,Warner,,,Budget,
415,Warner,,,Finance,
416,Warner,,,Rules and Administration,
417,Warner,,,Select Committee on Intelligence,
418,Warren,,,Armed Services,vice chair
419,Warren,,,"Banking, Housing, and Urban Affairs",
420,Warren,,,"Health, Education, Labor, and Pensions",
421,Warren,,,Special Committee on Aging,
422,Whitehouse,,,Budget,
423,Whitehouse,,,Environment and Public Works,
424,Whitehouse,,,Finance,
425,Whitehouse,,,Judiciary,
426,Wicker,,,Armed Services,vice chair
427,Wicker,,,"Commerce, Science, and Transportation",
428,Wicker,,,Environment and Public Works,
429,Wicker,,,Rules and Administration,
430,Wicker,,,Joint Committee on Printing,
431,Wyden,,,Budget,
432,Wyden,,,Energy and Natural Resources,
433,Wyden,,,Finance,
434,Wyden,,,Joint Committee on Taxation,
435,Wyden,,,Select Committee on Intelligence,
436,Young,,,"Commerce, Science, and Transportation",
437,Young,,,Foreign Relations,
438,Young,,,"Health, Education, Labor, and Pensions",
439,Young,,,Small Business and Entrepreneurship,
440,Young,,,Alexander,
441,Baldwin,,,Appropriations,
442,Baldwin,,,"Commerce, Science, and Transportation",
443,Baldwin,,,"Health, Education, Labor, and Pensions",
444,Barrasso,,,Environment and Public Works,chair
445,Barrasso,,,Energy and Natural Resources,
446,Barrasso,,,Foreign Relations,
447,Barrasso,,,Indian Affairs,
448,Bennet,,,"Agriculture, Nutrition, and Forestry",
449,Bennet,,,Finance,
450,Bennet,,,"Health, Education, Labor, and Pensions",
451,Blumenthal,,,Armed Services,vice chair
452,Blumenthal,,,"Commerce, Science, and Transportation",
453,Blumenthal,,,Judiciary,
454,Blumenthal,,,Veterans' Affairs,
455,Blumenthal,,,Special Committee on Aging,
456,Blunt,,,Rules and Administration,chair
457,Blunt,,,Joint Committee on Printing,chair
458,Blunt,,,Joint Committee on the Library,vice chair
459,Blunt,,,Appropriations,
460,Blunt,,,"Commerce, Science, and Transportation",
461,Blunt,,,Select Committee on Intelligence,
462,Booker,,,Environment and Public Works,
463,Booker,,,Foreign Relations,
464,Booker,,,Judiciary,
465,Booker,,,Small Business and Entrepreneurship,
466,Boozman,,,"Agriculture, Nutrition, and Forestry",
467,Boozman,,,Appropriations,
468,Boozman,,,Budget,
469,Boozman,,,Environment and Public Works,
470,Boozman,,,Veterans' Affairs,
471,Brown,,,"Agriculture, Nutrition, and Forestry",
472,Brown,,,"Banking, Housing, and Urban Affairs",
473,Brown,,,Finance,
474,Brown,,,Veterans' Affairs,
475,Burr,,,Select Committee on Intelligence,chair
476,Burr,,,Finance,
477,Burr,,,"Health, Education, Labor, and Pensions",
478,Burr,,,Special Committee on Aging,
479,Cantwell,,,"Commerce, Science, and Transportation",
480,Cantwell,,,Energy and Natural Resources,
481,Cantwell,,,Finance,
482,Cantwell,,,Indian Affairs,
483,Cantwell,,,Small Business and Entrepreneurship,
484,Capito,,,Appropriations,
485,Capito,,,"Commerce, Science, and Transportation",
486,Capito,,,Energy and Natural Resources,
487,Capito,,,Environment and Public Works,
488,Capito,,,Rules and Administration,
489,Cardin,,,Environment and Public Works,
490,Cardin,,,Finance,
491,Cardin,,,Foreign Relations,
492,Cardin,,,Small Business and Entrepreneurship,
493,Carper,,,Environment and Public Works,
494,Carper,,,Finance,
495,Carper,,,Homeland Security and Governmental Affairs,
496,Casey,,,"Agriculture, Nutrition, and Forestry",
497,Casey,,,Finance,
498,Casey,,,"Health, Education, Labor, and Pensions",
499,Casey,,,Special Committee on Aging,
500,Cassidy,,,Energy and Natural Resources,
501,Cassidy,,,Finance,
502,Cassidy,,,"Health, Education, Labor, and Pensions",
503,Cassidy,,,Veterans' Affairs,
504,Cassidy,,,Joint Economic Committee,
505,Collins,,,Special Committee on Aging,chair
506,Collins,,,Appropriations,
507,Collins,,,"Health, Education, Labor, and Pensions",
508,Collins,,,Select Committee on Intelligence,
509,Coons,,,Select Committee on Ethics,vice chair
510,Coons,,,Appropriations,
511,Coons,,,Foreign Relations,
512,Coons,,,Judiciary,
513,Coons,,,Small Business and Entrepreneurship,
514,Corker,,,Foreign Relations,chair
515,Corker,,,"Banking, Housing, and Urban Affairs",
516,Corker,,,Budget,
517,Corker,,,Special Committee on Aging,
518,Cornyn,,,Finance,
519,Cornyn,,,Judiciary,
520,Cornyn,,,Select Committee on Intelligence,
521,Cortez Masto,,,"Banking, Housing, and Urban Affairs",
522,Cortez Masto,,,"Commerce, Science, and Transportation",
523,Cortez Masto,,,Energy and Natural Resources,
524,Cortez Masto,,,Indian Affairs,
525,Cortez Masto,,,Rules and Administration,
526,Cortez Masto,,,Special Committee on Aging,
527,Cotton,,,Armed Services,vice chair
528,Cotton,,,"Banking, Housing, and Urban Affairs",
529,Cotton,,,Budget,
530,Cotton,,,Joint Economic Committee,
531,Cotton,,,Select Committee on Intelligence,
532,Crapo,,,"Banking, Housing, and Urban Affairs",chair
533,Crapo,,,Budget,
534,Crapo,,,Finance,
535,Crapo,,,Indian Affairs,
536,Crapo,,,Judiciary,
537,Crapo,,,Joint Committee on Taxation,
538,Cruz,,,Armed Services,vice chair
539,Cruz,,,"Commerce, Science, and Transportation",
540,Cruz,,,Judiciary,
541,Cruz,,,Rules and Administration,
542,Cruz,,,Joint Economic Committee,
543,Daines,,,"Agriculture, Nutrition, and Forestry",
544,Daines,,,Appropriations,
545,Daines,,,Energy and Natural Resources,
546,Daines,,,Homeland Security and Governmental Affairs,
547,Daines,,,Indian Affairs,
548,Donnelly,,,"Agriculture, Nutrition, and Forestry",
549,Donnelly,,,Armed Services,vice chair
550,Donnelly,,,"Banking, Housing, and Urban Affairs",
551,Donnelly,,,Special Committee on Aging,
552,Duckworth,,,"Commerce, Science, and Transportation",
553,Duckworth,,,Energy and Natural Resources,
554,Duckworth,,,Environment and Public Works,
555,Duckworth,,,Small Business and Entrepreneurship,
556,Durbin,,,Appropriations,
557,Durbin,,,Judiciary,
558,Durbin,,,Rules and Administration,
559,Enzi,,,Budget,chair
560,Enzi,,,Finance,
561,Enzi,,,"Health, Education, Labor, and Pensions",
562,Enzi,,,Homeland Security and Governmental Affairs,
563,Enzi,,,Small Business and Entrepreneurship,
564,Ernst,,,"Agriculture, Nutrition, and Forestry",
