"billid","billname","committeename"
357,"BILLS-115hr676ih","Committee on Homeland Security and Governmental Affairs"
358,"BILLS-115hr485ih","Committee on Energy and Commerce"
358,"BILLS-115hr485ih","Ways and Means"
358,"BILLS-115hr485ih","Natural Resources"
359,"BILLS-115hr5965ih","Committee on Financial Services"
360,"BILLS-115hr2725ih","Committee on Energy and Commerce"
360,"BILLS-115hr2725ih","Oversight and Government Reform"
360,"BILLS-115hr2725ih","Armed Services"
360,"BILLS-115hr2725ih","Veterans Affairs"
361,"BILLS-115hres246ih","Committee on Education and the Workforce"
362,"BILLS-115hr7142ih","Committee on Foreign Affairs"
363,"BILLS-115hr4115ih","Committee on Education and the Workforce"
364,"BILLS-115hr5374ih","Committee on Education and the Workforce"
364,"BILLS-115hr5374ih","the Judiciary"
365,"BILLS-115s636is","Committee on Education and the Workforce"
366,"BILLS-115hr2961ih","Committee on Health, Education, Labor, and Pensions"
367,"BILLS-115hr6677ih","Committee on Education and the Workforce"
368,"BILLS-115hr6669ih","Committee on the Judiciary"
369,"BILLS-115s2584is","Committee on the Judiciary"
370,"BILLS-115hr1921ih","Committee on Health, Education, Labor, and Pensions"
371,"BILLS-115s2986is","Committee on Education and the Workforce"
372,"BILLS-115hr4957ih","Committee on Health, Education, Labor, and Pensions"
373,"BILLS-115s2387is","Committee on Energy and Commerce"
373,"BILLS-115s2387is","Ways and Means"
374,"BILLS-115s3588is","Committee on Finance"
375,"BILLS-115hr1924ih","Committee on the Judiciary"
376,"BILLS-115hr1516ih","Committee on Education and the Workforce"
377,"BILLS-115hr895ih","Committee on Education and the Workforce"
377,"BILLS-115hr895ih","House Administration"
377,"BILLS-115hr895ih","Oversight and Government Reform"
378,"BILLS-115s185is","Committee on Ways and Means"
378,"BILLS-115s185is","Education and the Workforce"
379,"BILLS-115s148is","Committee on Health, Education, Labor, and Pensions"
380,"BILLS-115s2159is","Committee on Finance"
381,"BILLS-115hr3494ih","Committee on Homeland Security and Governmental Affairs"
382,"BILLS-115hr5710ih","Committee on Energy and Commerce"
382,"BILLS-115hr5710ih","Education and the Workforce"
383,"BILLS-115hr5609ih","Committee on the Judiciary"
384,"BILLS-115hr984enr","Committee on Transportation and Infrastructure"
384,"BILLS-115hr984enr","Energy and Commerce"
384,"BILLS-115hr984enr","Ways and Means"
384,"BILLS-115hr984enr","Agriculture"
385,"BILLS-115s292es","nan"
386,"BILLS-115hr1777ih","nan"
387,"BILLS-115s766is","Committee on Armed Services"
388,"BILLS-115hr7068ih","Committee on Armed Services"
389,"BILLS-115s3608is","Committee on the Judiciary"
389,"BILLS-115s3608is","Foreign Affairs"
390,"BILLS-115s292rfh","Committee on Health, Education, Labor, and Pensions"
391,"BILLS-115s292enr","Committee on Energy and Commerce"
392,"BILLS-115hr4396ih","nan"
393,"BILLS-115hr539ih","Committee on House Administration"
394,"BILLS-115hr1510ih","Committee on Energy and Commerce"
394,"BILLS-115hr1510ih","Ways and Means"
395,"BILLS-115hr984eh","Committee on Education and the Workforce"
396,"BILLS-115hr984rfs","nan"
397,"BILLS-115s3220is","Committee on Indian Affairs"
398,"BILLS-115s691rs","Committee on Health, Education, Labor, and Pensions"
399,"BILLS-115s1112rs","Committee on Indian Affairs"
400,"BILLS-115s1312rs","Committee on Health, Education, Labor, and Pensions"
401,"BILLS-115hr3257ih","Committee on the Judiciary"
401,"BILLS-115hr3257ih","Committee on Appropriations of the Senate"
401,"BILLS-115hr3257ih","Committee on Foreign Relations of the Senate"
401,"BILLS-115hr3257ih","Committee on Homeland Security and Governmental Affairs of the Senate"
401,"BILLS-115hr3257ih","Committee on the Judiciary of the Senate"
401,"BILLS-115hr3257ih","Committee on Appropriations of the House of Representatives"
401,"BILLS-115hr3257ih","Committee on Foreign Affairs of the House of Representatives"
401,"BILLS-115hr3257ih","Committee on Homeland Security of the House of Representatives"
401,"BILLS-115hr3257ih","Committee on the Judiciary of the House of Representatives;"
402,"BILLS-115hr984ih","Committee on Oversight and Government Reform"
403,"BILLS-115s691is","Committee on Natural Resources"
404,"BILLS-115s2598is","Committee on Indian Affairs"
405,"BILLS-115hr3778ih","Committee on Health, Education, Labor, and Pensions"
406,"BILLS-115hr1673ih","Committee on Education and the Workforce"
406,"BILLS-115hr1673ih","Energy and Commerce"
407,"BILLS-115hr5384ih","Committee on Transportation and Infrastructure"
407,"BILLS-115hr5384ih","Energy and Commerce"
407,"BILLS-115hr5384ih","Ways and Means"
407,"BILLS-115hr5384ih","Agriculture"
408,"BILLS-115hr202ih","Committee on Education and the Workforce"
409,"BILLS-115hr5153ih","Committee on Financial Services"
409,"BILLS-115hr5153ih","Ways and Means"
409,"BILLS-115hr5153ih","the Judiciary"
410,"BILLS-115s2571is","Committee on Ways and Means"
411,"BILLS-115s1121is","Committee on the Judiciary"
412,"BILLS-115hr1635rfs","Committee on Health, Education, Labor, and Pensions"
413,"BILLS-115hr1635eh","Committee on Health, Education, Labor, and Pensions"
414,"BILLS-115hr5785ih","nan"
415,"BILLS-115s1674is","Committee on the Judiciary"
415,"BILLS-115s1674is","Oversight and Government Reform"
415,"BILLS-115s1674is","Financial Services"
415,"BILLS-115s1674is","Transportation and Infrastructure"
415,"BILLS-115s1674is","Ways and Means"
415,"BILLS-115s1674is","Energy and Commerce"
415,"BILLS-115s1674is","the Budget"
415,"BILLS-115s1674is","Education and the Workforce"
415,"BILLS-115s1674is","Science, Space, and Technology"
415,"BILLS-115s1674is","Veterans Affairs"
415,"BILLS-115s1674is","Homeland Security"
415,"BILLS-115s1674is","Armed Services"
415,"BILLS-115s1674is","Small Business"
415,"BILLS-115s1674is","House Administration"
415,"BILLS-115s1674is","Agriculture"
415,"BILLS-115s1674is","Committee on the Judiciary of the Senate"
415,"BILLS-115s1674is","Committee on the Judiciary of the House of Representatives"
416,"BILLS-115s748is","Committee on Finance"
417,"BILLS-115hr5339ih","Committee on the Judiciary"
418,"BILLS-115hr6618ih","Committee on Education and the Workforce"
419,"BILLS-115hr2305ih","Committee on the Judiciary"
420,"BILLS-115s2169is","Committee on Education and the Workforce"
420,"BILLS-115s2169is","Science, Space, and Technology"
421,"BILLS-115s3110is","Committee on Health, Education, Labor, and Pensions"
422,"BILLS-115hr6184ih","Committee on Health, Education, Labor, and Pensions"
423,"BILLS-115s2081is","Committee on Education and the Workforce"
424,"BILLS-115hr2434ih","Committee on Health, Education, Labor, and Pensions"
425,"BILLS-115s1312rfh","Committee on Education and the Workforce"
426,"BILLS-115s3783is","Committee on the Judiciary"
426,"BILLS-115s3783is","Education and the Workforce"
426,"BILLS-115s3783is","Foreign Affairs"
426,"BILLS-115s3783is","Committee on Appropriations of the Senate"
426,"BILLS-115s3783is","Committee on Foreign Relations of the Senate"
426,"BILLS-115s3783is","Committee on Homeland Security and Governmental Affairs of the Senate"
426,"BILLS-115s3783is","Committee on the Judiciary of the Senate"
426,"BILLS-115s3783is","Committee on Appropriations of the House of Representatives"
426,"BILLS-115s3783is","Committee on Foreign Affairs of the House of Representatives"
426,"BILLS-115s3783is","Committee on Homeland Security of the House of Representatives"
426,"BILLS-115s3783is","Committee on the Judiciary of the House of Representatives;"
427,"BILLS-115hr4479ih","Committee on Health, Education, Labor, and Pensions"
428,"BILLS-115hr4601ih","Committee on Education and the Workforce"
428,"BILLS-115hr4601ih","Armed Services"
428,"BILLS-115hr4601ih","Veterans Affairs"
428,"BILLS-115hr4601ih","Ways and Means"
429,"BILLS-115s3616is","Committee on the Judiciary"
429,"BILLS-115s3616is","Education and the Workforce"
429,"BILLS-115s3616is","Foreign Affairs"
429,"BILLS-115s3616is","Committee on Appropriations of the Senate"
429,"BILLS-115s3616is","Committee on Foreign Relations of the Senate"
429,"BILLS-115s3616is","Committee on Homeland Security and Governmental Affairs of the Senate"
429,"BILLS-115s3616is","Committee on the Judiciary of the Senate"
429,"BILLS-115s3616is","Committee on Appropriations of the House of Representatives"
429,"BILLS-115s3616is","Committee on Foreign Affairs of the House of Representatives"
429,"BILLS-115s3616is","Committee on Homeland Security of the House of Representatives"
429,"BILLS-115s3616is","Committee on the Judiciary of the House of Representatives;"
430,"BILLS-115hr6805ih","Committee on the Judiciary"
431,"BILLS-115hr4557rh","Committee on the Judiciary"
432,"BILLS-115s1312es","Committee on Financial Services"
432,"BILLS-115s1312es","Committee on Transportation and Infrastructure"
432,"BILLS-115s1312es","Committee on Transportation and Infrastructure"
432,"BILLS-115s1312es","Committee on Transportation and Infrastructure"
433,"BILLS-115hr3828ih","Committee on Appropriations of the Senate"
433,"BILLS-115hr3828ih","Committee on Foreign Relations of the Senate"
433,"BILLS-115hr3828ih","Committee on Homeland Security and Governmental Affairs of the Senate"
433,"BILLS-115hr3828ih","Committee on the Judiciary of the Senate"
433,"BILLS-115hr3828ih","Committee on Appropriations of the House of Representatives"
433,"BILLS-115hr3828ih","Committee on Foreign Affairs of the House of Representatives"
433,"BILLS-115hr3828ih","Committee on Homeland Security of the House of Representatives"
433,"BILLS-115hr3828ih","Committee on the Judiciary of the House of Representatives;"
434,"BILLS-115hr2757ih","Committee on Education and the Workforce"
435,"BILLS-115hr1635ih","Committee on Energy and Commerce"
436,"BILLS-115hr711ih","Committee on Education and the Workforce"
437,"BILLS-115s511is","Committee on the Judiciary"
438,"BILLS-115hr1899ih","Committee on the Judiciary"
439,"BILLS-115s823is","Committee on the Judiciary"
439,"BILLS-115s823is","Homeland Security"
440,"BILLS-115hr3024ih","Committee on Homeland Security and Governmental Affairs"
441,"BILLS-115hr2475ih","Committee on Education and the Workforce"
442,"BILLS-115hr5017ih","Committee on Education and the Workforce"
442,"BILLS-115hr5017ih","Ways and Means"
442,"BILLS-115hr5017ih","the Budget"
443,"BILLS-115hr6946ih","Committee on Agriculture"
444,"BILLS-115s1421is","Committee on Education and the Workforce"
445,"BILLS-115s292rs","Committee on Health, Education, Labor, and Pensions"
446,"BILLS-115s2994is","Committee on Health, Education, Labor, and Pensions"
447,"BILLS-115s2236is","Committee on Health, Education, Labor, and Pensions"
448,"BILLS-115hr712ih","Committee on Homeland Security and Governmental Affairs"
449,"BILLS-115s2689is","Committee on the Judiciary"
450,"BILLS-115s819is","Committee on Finance"
451,"BILLS-115s3494is","Committee on Health, Education, Labor, and Pensions"
452,"BILLS-115hr2960ih","Committee on Finance"
453,"BILLS-115hr352ih","Committee on Education and the Workforce"
454,"BILLS-115hr1869ih","Committee on Energy and Commerce"
454,"BILLS-115hr1869ih","Rules"
454,"BILLS-115hr1869ih","Ways and Means"
454,"BILLS-115hr1869ih","Education and the Workforce"
454,"BILLS-115hr1869ih","the Judiciary"
454,"BILLS-115hr1869ih","Natural Resources"
454,"BILLS-115hr1869ih","House Administration"
454,"BILLS-115hr1869ih","Appropriations"
455,"BILLS-115hr1905ih","Committee on Education and the Workforce"
456,"BILLS-115s756enr","Committee on Oversight and Government Reform"
456,"BILLS-115s756enr","House Administration"
456,"BILLS-115s756enr","the Judiciary"
456,"BILLS-115s756enr","Armed Services"
456,"BILLS-115s756enr","Education and the Workforce"
457,"BILLS-115hr1468ih","nan"
458,"BILLS-115hr47ih","Committee on the Judiciary"
458,"BILLS-115hr47ih","Homeland Security"
458,"BILLS-115hr47ih","Armed Services"
459,"BILLS-115s842is","Committee on the Judiciary"
460,"BILLS-115hr3773ih","Committee on Homeland Security and Governmental Affairs"
461,"BILLS-115s3747pcs","Committee on Education and the Workforce"
462,"BILLS-115s756eas","nan"
463,"BILLS-115s1806is","nan"
464,"BILLS-115s842rs","Committee on Health, Education, Labor, and Pensions"
465,"BILLS-115hr5550ih","Committee on Homeland Security and Governmental Affairs"
466,"BILLS-115hr5878ih","Committee on Education and the Workforce"
466,"BILLS-115hr5878ih","Committee on Agriculture"
467,"BILLS-115hr5900ih","Committee on Energy and Commerce"
468,"BILLS-115hr820ih","Committee on Energy and Commerce"
469,"BILLS-115s292is","Committee on Energy and Commerce"
470,"BILLS-115hr6543ih","Committee on Health, Education, Labor, and Pensions"
471,"BILLS-115hr6406ih","Committee on Education and the Workforce"
472,"BILLS-115s3802is","Committee on Education and the Workforce"
472,"BILLS-115s3802is","Ways and Means"
472,"BILLS-115s3802is","Financial Services"
472,"BILLS-115s3802is","House Administration"
472,"BILLS-115s3802is","Oversight and Government Reform"
472,"BILLS-115s3802is","the Judiciary"
473,"BILLS-115s1312enr","Committee on Health, Education, Labor, and Pensions"
474,"BILLS-115s1312eah","Committee on Appropriations of the Senate"
474,"BILLS-115s1312eah","Committee on Foreign Relations of the Senate"
474,"BILLS-115s1312eah","Committee on Homeland Security and Governmental Affairs of the Senate"
474,"BILLS-115s1312eah","Committee on the Judiciary of the Senate"
474,"BILLS-115s1312eah","Committee on Appropriations of the House of Representatives"
474,"BILLS-115s1312eah","Committee on Foreign Affairs of the House of Representatives"
474,"BILLS-115s1312eah","Committee on Homeland Security of the House of Representatives"
474,"BILLS-115s1312eah","Committee on the Judiciary of the House of Representatives;"
475,"BILLS-115s3340is","Committee on Appropriations of the Senate"
475,"BILLS-115s3340is","Committee on Foreign Relations of the Senate"
475,"BILLS-115s3340is","Committee on Homeland Security and Governmental Affairs of the Senate"
475,"BILLS-115s3340is","Committee on the Judiciary of the Senate"
475,"BILLS-115s3340is","Committee on Appropriations of the House of Representatives"
475,"BILLS-115s3340is","Committee on Foreign Affairs of the House of Representatives"
475,"BILLS-115s3340is","Committee on Homeland Security of the House of Representatives"
475,"BILLS-115s3340is","Committee on the Judiciary of the House of Representatives;"
476,"BILLS-115hr3839ih","Committee on Health, Education, Labor, and Pensions"
477,"BILLS-115s2724is","Committee on Ways and Means"
477,"BILLS-115s2724is","Education and the Workforce"
477,"BILLS-115s2724is","Agriculture"
477,"BILLS-115s2724is","Financial Services"
477,"BILLS-115s2724is","Small Business"
477,"BILLS-115s2724is","Energy and Commerce"
477,"BILLS-115s2724is","the Judiciary"
477,"BILLS-115s2724is","Oversight and Government Reform"
478,"BILLS-115hr3440ih","Committee on the Judiciary"
479,"BILLS-115s1615is","Committee on the Judiciary"
479,"BILLS-115s1615is","Education and the Workforce"
480,"BILLS-115hr6964enr","Committee on the Judiciary"
481,"BILLS-115hr6964eas","nan"
482,"BILLS-115hr6964pcs","nan"
483,"BILLS-115hr1084ih","nan"
484,"BILLS-115hr5040ih","Committee on Ways and Means"
484,"BILLS-115hr5040ih","Education and the Workforce"
484,"BILLS-115hr5040ih","Agriculture"
484,"BILLS-115hr5040ih","Financial Services"
484,"BILLS-115hr5040ih","Small Business"
484,"BILLS-115hr5040ih","Energy and Commerce"
484,"BILLS-115hr5040ih","the Judiciary"
484,"BILLS-115hr5040ih","Oversight and Government Reform"
485,"BILLS-115hr6964eh","Committee on Foreign Affairs"
485,"BILLS-115hr6964eh","Committee on Oversight and Government Reform"
486,"BILLS-115s1852is","nan"
487,"BILLS-115s3478is","Committee on the Judiciary"
487,"BILLS-115s3478is","Committee on the Judiciary of the Senate"
487,"BILLS-115s3478is","Committee on the Judiciary of the House of Representatives"
488,"BILLS-115hr5592ih","Committee on Homeland Security and Governmental Affairs"
488,"BILLS-115hr5592ih","Committee on Homeland Security and Governmental Affairs of the Senate"
488,"BILLS-115hr5592ih","Committee on Homeland Security of the House of Representatives"
488,"BILLS-115hr5592ih","Committee on the Judiciary of the Senate"
488,"BILLS-115hr5592ih","Committee on the Judiciary of the House of Representatives"
488,"BILLS-115hr5592ih","Committee on Commerce, Science, and Transportation of the Senate"
488,"BILLS-115hr5592ih","Committee on Transportation and Infrastructure of the House of Representatives"
489,"BILLS-115hr7059ih","Committee on Foreign Affairs"
489,"BILLS-115hr7059ih","Committee on Foreign Relations of the Senate"
489,"BILLS-115hr7059ih","Committee on Appropriations of the Senate"
489,"BILLS-115hr7059ih","Committee on Foreign Affairs of the House of Representatives"
489,"BILLS-115hr7059ih","Committee on Appropriations of the House of Representatives"
489,"BILLS-115hr7059ih","Committee on Foreign Relations of the Senate"
489,"BILLS-115hr7059ih","Committee on Foreign Affairs of the House of Representatives"
489,"BILLS-115hr7059ih","Select Committee on Intelligence of the Senate"
489,"BILLS-115hr7059ih","Permanent Select Committee on Intelligence of the House of Representatives"
490,"BILLS-115hr1809rds","Committee on the Judiciary"
490,"BILLS-115hr1809rds","Homeland Security"
490,"BILLS-115hr1809rds","Ways and Means"
490,"BILLS-115hr1809rds","Armed Services"
490,"BILLS-115hr1809rds","the Budget"
491,"BILLS-115hr1809pcs","nan"
492,"BILLS-115hr1809ih","nan"
493,"BILLS-115hr1809eh","Committee on Education and the Workforce"
494,"BILLS-115hr1102ih","nan"
495,"BILLS-115hr1809rh","Committee on the Judiciary"
496,"BILLS-115hr1111ih","Committee on Education and the Workforce"
497,"BILLS-115s1437is","Committee on Oversight and Government Reform"
498,"BILLS-115hr12ih","Committee on Rules and Administration"
499,"BILLS-115s162is","Committee on House Administration"
499,"BILLS-115s162is","the Judiciary"
499,"BILLS-115s162is","Science, Space, and Technology"
499,"BILLS-115s162is","Veterans Affairs"
499,"BILLS-115s162is","Oversight and Government Reform"
499,"BILLS-115s162is","Education and the Workforce"
500,"BILLS-115s1631is","Committee on Homeland Security and Governmental Affairs"
501,"BILLS-115hr3671ih","Committee on Foreign Relations"
501,"BILLS-115hr3671ih","Committee on Foreign Relations of the Senate"
501,"BILLS-115hr3671ih","Committee on Appropriations of the Senate"
501,"BILLS-115hr3671ih","Committee on Foreign Affairs of the House of Representatives"
501,"BILLS-115hr3671ih","Committee on Appropriations of the House of Representatives"
501,"BILLS-115hr3671ih","Committee on Foreign Relations of the Senate"
501,"BILLS-115hr3671ih","Committee on Foreign Affairs of the House of Representatives"
501,"BILLS-115hr3671ih","Committee on Foreign Relations of the Senate"
501,"BILLS-115hr3671ih","Committee on Foreign Affairs of the House of Representatives"
501,"BILLS-115hr3671ih","Select Committee on Intelligence of the Senate"
501,"BILLS-115hr3671ih","Permanent Select Committee on Intelligence of the House of Representatives"
502,"BILLS-115hr1537ih","Committee on Energy and Commerce"
502,"BILLS-115hr1537ih","Ways and Means"
502,"BILLS-115hr1537ih","Transportation and Infrastructure"
502,"BILLS-115hr1537ih","Education and the Workforce"
502,"BILLS-115hr1537ih","Science, Space, and Technology"
502,"BILLS-115hr1537ih","Financial Services"
502,"BILLS-115hr1537ih","Foreign Affairs"
503,"BILLS-115s2158is","Committee on Oversight and Government Reform"
504,"BILLS-115s337is","Committee on the Judiciary"
505,"BILLS-115s1631rs","Committee on Finance"
506,"BILLS-115hr4261ih","Committee on Foreign Relations"
506,"BILLS-115hr4261ih","Committee on Foreign Relations of the Senate"
506,"BILLS-115hr4261ih","Committee on Appropriations of the Senate"
506,"BILLS-115hr4261ih","Committee on Foreign Affairs of the House of Representatives"
506,"BILLS-115hr4261ih","Committee on Appropriations of the House of Representatives"
506,"BILLS-115hr4261ih","Committee on Foreign Relations of the Senate"
506,"BILLS-115hr4261ih","Committee on Foreign Affairs of the House of Representatives"
506,"BILLS-115hr4261ih","Committee on Foreign Relations of the Senate"
506,"BILLS-115hr4261ih","Committee on Foreign Affairs of the House of Representatives"
506,"BILLS-115hr4261ih","Select Committee on Intelligence of the Senate"
506,"BILLS-115hr4261ih","Permanent Select Committee on Intelligence of the House of Representatives"
507,"BILLS-115s3246is","Committee on the Judiciary"
507,"BILLS-115s3246is","Energy and Commerce"
508,"BILLS-115hr3474ih","Committee on Finance"
509,"BILLS-115hr5164ih","Committee on Homeland Security"
509,"BILLS-115hr5164ih","Armed Services"
509,"BILLS-115hr5164ih","the Judiciary"
509,"BILLS-115hr5164ih","Natural Resources"
509,"BILLS-115hr5164ih","Agriculture"
509,"BILLS-115hr5164ih","Foreign Affairs"
509,"BILLS-115hr5164ih","Transportation and Infrastructure"
509,"BILLS-115hr5164ih","Ways and Means"
510,"BILLS-115hr947ih","Committee on the Judiciary"
510,"BILLS-115hr947ih","Education and the Workforce"
510,"BILLS-115hr947ih","Financial Services"
510,"BILLS-115hr947ih","Ways and Means"
510,"BILLS-115hr947ih","Small Business"
510,"BILLS-115hr947ih","Oversight and Government Reform"
510,"BILLS-115hr947ih","Agriculture"
510,"BILLS-115hr947ih","Rules"
510,"BILLS-115hr947ih","Energy and Commerce"
511,"BILLS-115hr1000ih","Committee on Ways and Means"
512,"BILLS-115s2199pcs","Committee on Education and the Workforce"
512,"BILLS-115s2199pcs","Committee on Ways and Means"
513,"BILLS-115s1937is","nan"
514,"BILLS-115hr4796ih","Committee on the Judiciary"
515,"BILLS-115s2367is","Committee on the Judiciary"
515,"BILLS-115s2367is","Homeland Security"
515,"BILLS-115s2367is","Education and the Workforce"
515,"BILLS-115s2367is","Energy and Commerce"
515,"BILLS-115s2367is","Foreign Affairs"
516,"BILLS-115hr6776rh","Committee on the Judiciary"
516,"BILLS-115hr6776rh","Committee on Homeland Security and Governmental Affairs of the Senate"
516,"BILLS-115hr6776rh","Committee on Homeland Security of the House of Representatives"
516,"BILLS-115hr6776rh","Committee on Homeland Security and Governmental Affairs of the Senate"
516,"BILLS-115hr6776rh","Committee on Homeland Security of the House of Representatives"
516,"BILLS-115hr6776rh","Committee on Homeland Security and Governmental Affairs of the Senate"
516,"BILLS-115hr6776rh","Committee on Commerce, Science, and Transportation of the Senate"
516,"BILLS-115hr6776rh","Committee on Homeland Security of the House of Representatives"
516,"BILLS-115hr6776rh","Committee on Transportation and Infrastructure of the House of Representatives"
516,"BILLS-115hr6776rh","Committee on Homeland Security and Governmental Affairs of the Senate"
516,"BILLS-115hr6776rh","Committee on Homeland Security of the House of Representatives"
516,"BILLS-115hr6776rh","Committee on Foreign Relations of the Senate"
516,"BILLS-115hr6776rh","Committee on Appropriations of the Senate"
516,"BILLS-115hr6776rh","Committee on Foreign Affairs of the House of Representatives"
516,"BILLS-115hr6776rh","Committee on Appropriations of the House of Representatives"
516,"BILLS-115hr6776rh","Committee on Foreign Relations of the Senate"
516,"BILLS-115hr6776rh","Committee on Appropriations of the Senate"
516,"BILLS-115hr6776rh","Committee on Foreign Affairs of the House of Representatives"
516,"BILLS-115hr6776rh","Committee on Appropriations of the House of Representatives"
517,"BILLS-115hr5841ih","Committee on Appropriations"
518,"BILLS-115hr5841pcs","Committee on Foreign Affairs"
518,"BILLS-115hr5841pcs","Financial Services"
518,"BILLS-115hr5841pcs","Energy and Commerce"
518,"BILLS-115hr5841pcs","Intelligence (Permanent Select)"
518,"BILLS-115hr5841pcs","Oversight and Government Reform"
519,"BILLS-115hr5531ih","nan"
520,"BILLS-115hr6134ih","Committee on Energy and Commerce"
520,"BILLS-115hr6134ih","Ways and Means"
520,"BILLS-115hr6134ih","the Budget"
520,"BILLS-115hr6134ih","Veterans Affairs"
520,"BILLS-115hr6134ih","Oversight and Government Reform"
520,"BILLS-115hr6134ih","the Judiciary"
521,"BILLS-115hr5841eh","Committee on the Judiciary"
521,"BILLS-115hr5841eh","Committee on Foreign Affairs"
522,"BILLS-115hr5682rds","nan"
523,"BILLS-115hr5682ih","nan"
524,"BILLS-115hr5682rh","Committee on the Judiciary"
525,"BILLS-115hr5682eh","Committee on the Judiciary"
526,"BILLS-115s2795is","nan"
527,"BILLS-115hr6204ih","Committee on the Judiciary"
528,"BILLS-115hr5365ih","Committee on the Judiciary"
528,"BILLS-115hr5365ih","Committee on Foreign Affairs"
529,"BILLS-115s3584is","Committee on Education and the Workforce"
530,"BILLS-115s3649pcs","Committee on Health, Education, Labor, and Pensions"
531,"BILLS-115s1917is","nan"
532,"BILLS-115hr3057ih","Committee on the Judiciary"
533,"BILLS-115s860es","Committee on the Judiciary"
533,"BILLS-115s860es","House Administration"
534,"BILLS-115hr4074ih","nan"
535,"BILLS-115s3023pcs","Committee on Ways and Means"
535,"BILLS-115s3023pcs","House Administration"
535,"BILLS-115s3023pcs","Oversight and Government Reform"
535,"BILLS-115s3023pcs","Education and the Workforce"
535,"BILLS-115s3023pcs","Financial Services"
535,"BILLS-115s3023pcs","Agriculture"
535,"BILLS-115s3023pcs","Transportation and Infrastructure"
535,"BILLS-115s3023pcs","Rules"
535,"BILLS-115s3023pcs","the Budget"
535,"BILLS-115s3023pcs","the Judiciary"
536,"BILLS-115hr2511ih","Committee on Appropriations"
537,"BILLS-115s860is","Committee on Armed Services"
537,"BILLS-115s860is","Oversight and Government Reform"
538,"BILLS-115s774is","Committee on the Judiciary"
539,"BILLS-115hr1757ih","Committee on Health, Education, Labor, and Pensions"
540,"BILLS-115hr6072rh","Committee on Education and the Workforce"
540,"BILLS-115hr6072rh","Energy and Commerce"
540,"BILLS-115hr6072rh","Ways and Means"
540,"BILLS-115hr6072rh","the Judiciary"
541,"BILLS-115hr6237rds","Committee on Appropriations"
542,"BILLS-115hr6237eh","nan"
543,"BILLS-115hr4ih","nan"
544,"BILLS-115s3386is","Committee on Transportation and Infrastructure"
544,"BILLS-115s3386is","Financial Services"
544,"BILLS-115s3386is","Ways and Means"
544,"BILLS-115s3386is","Science, Space, and Technology"
544,"BILLS-115s3386is","Natural Resources"
545,"BILLS-115hr3353rh","Committee on the Judiciary"
546,"BILLS-115hr3160ih","Committee on Appropriations"
547,"BILLS-115hr6545ih","Committee on Financial Services"
548,"BILLS-115s1655pcs","Committee on the Judiciary"
548,"BILLS-115s1655pcs","Energy and Commerce"
548,"BILLS-115s1655pcs","Financial Services"
548,"BILLS-115s1655pcs","Ways and Means"
548,"BILLS-115s1655pcs","Natural Resources"
548,"BILLS-115s1655pcs","Education and the Workforce"
549,"BILLS-115hr2997ih","Committee on Appropriations"
